Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District Of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Good,Good,null,Good,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,null,null,null,Good,null,Moderate,null
Good,Good,null,Good,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,null,Good,Moderate,null,null,Good,Moderate,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,null,Good,Good,null,null,Good,Good,Good,Good,null,Good,null,Good,Good,Good,Moderate,Good
Moderate,Good,null,Moderate,Good,Good,null,Good,null,Moderate,Good,Good,Good,Good,Good,Good,Good,null,Moderate,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Moderate,Good,Good,null,Good,Good,Good,Good,Moderate,null,null,null,Good,Good,null,Good,null
Moderate,Good,null,Moderate,Good,Good,null,Good,null,Moderate,Moderate,Good,Good,Good,Good,Good,Moderate,Moderate,Good,null,Good,null,Good,Good,Good,Moderate,Good,Good,Good,null,null,null,Good,Good,null,Good,Moderate,Good,Good,Moderate,null,Good,Good,Moderate,Moderate,null,null,null,Good,Good,null,Good,null
Moderate,Good,Good,Good,Good,Good,Good,null,null,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Moderate,Moderate,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,Moderate,Good,Moderate,Good,null,null,Good,Good,Good,Good,Good,Good
Moderate,Good,Good,null,Good,null,null,Good,Good,Good,Moderate,Good,Good,null,Good,Good,Good,null,null,null,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,null,Good,null,Good,Good,Good,null,Moderate,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,null,null,Good,null,null,Good,null,Good,Good,Good,Good,null,Good,Good,Moderate,null,Moderate,null,Good,null,null,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Moderate,Good,Good,null,null,Good,Good,Good,Good,null,null,null,null,Good,null,Good,null
Good,Good,null,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,Moderate,null,Good,null,Good,null,Good,Good,Good,Moderate,Good,Moderate,null,null,null,Good,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good
null,Good,null,null,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,null,Good,null,Good,Good,Good,Moderate,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,null,Good,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,null,null,Good,Good,null,Good,Good
Moderate,Good,Good,Good,Good,Good,null,null,null,Moderate,Good,Good,Good,Moderate,Moderate,Good,Good,Moderate,Good,null,null,null,Good,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good
Moderate,Good,null,Good,Good,Good,null,null,null,Moderate,Moderate,Good,Good,Good,Good,Good,Moderate,Moderate,Good,null,null,Good,Good,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,null,Moderate,Good,Good,Good,Good,null,Moderate,Moderate,Good,Good,Good,Good,Good,Moderate,Moderate,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Moderate,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,null,Good,Good,Good,null,null,null,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Moderate,Good,Good,Good,Good,null,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Moderate,Good,Good,null,null,null,Good,Good,Good,Moderate,Good
Moderate,Good,null,Good,Good,Good,null,Moderate,Good,Good,Moderate,Good,Good,Good,Good,Moderate,Moderate,Good,Good,null,Moderate,null,Good,Good,Good,Moderate,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Moderate,Good,Good,Good,null,null,null,Good,Good,null,Moderate,null
Good,Good,null,Moderate,Good,Good,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Good,Good,null,null,Good,Good,Good,Moderate,Moderate,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,Good,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,Good,null,null,null,Moderate,Good,Good,Good,null,Good,Good,null,null,Moderate,null,Good,Good,Good,Good,Moderate,null,Good,Good,Good,Good,null,Good,Good,Good,null,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Moderate,null,null,Good,Good,Good,Good,Good,Good
null,Good,null,null,Good,null,null,null,null,Moderate,Good,Good,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,Good,Good,null,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,null,Good,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Moderate,Moderate,null,Good,null,null,null,Good,Good,Good,Moderate,Good,Moderate,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Moderate,Good,Good,null,null,null,null,Good,null,Moderate,null
Moderate,Good,Good,Good,Good,Good,Good,Good,null,Moderate,Moderate,Good,Good,Good,Good,Good,null,Good,Moderate,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,null,null,null,Good,Good,Good,Good,Good
Good,Good,null,null,Good,Good,Moderate,null,null,Moderate,Good,Good,Good,Good,Good,Good,null,null,Good,null,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,null,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Good,null,Good,null,null,null,null,Moderate,Good,Good,Good,null,Good,Good,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,null,null,Good,null,Good,null
Good,Good,Good,Good,Good,Good,Good,null,null,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good
Moderate,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,null,null,Good,Moderate,null,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,null,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,Moderate,null,null,null,Good,Good,Good,Good,Moderate,Moderate,Good,Moderate,Good,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Moderate,null,null,Good,Good,Good,Good,Good
Good,Good,Good,Good,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,null,null,null,Good,Good,null,Good,null
Good,Good,null,null,Good,Good,null,Good,null,Good,Good,Good,Good,null,Good,Good,Moderate,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,null,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,Good,null,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,null,Good,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,Moderate,Moderate,null,Good,Good,Good,Good,Good,Good
Good,Good,null,Good,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,Good,null,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,Good,null,Good,Good,Good,Moderate,Moderate,null,null,null,Good,null,Good,null
Good,Good,null,null,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Moderate,Good,null,Moderate,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,Good,null,null,Good,Good,null,Moderate,null
Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Moderate,Moderate,Moderate,Good,null,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,null,null,Good,Good,Good,Moderate,Good
Good,Good,null,null,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Moderate,Good,null,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Moderate,Good,Good,Good,null,null,Good,Good,Good,Moderate,Good,null,null,Good,Good,null,Good,null
Good,Good,null,null,Good,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,Good,Good,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,Good,null,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,Good,Moderate,null,Good,Good,Good,Good,Good,Good
Moderate,Good,null,null,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,null,Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,null,null,Good,Good,Good,Moderate,Moderate,null,null,null,Good,null,Moderate,null
Good,Good,Good,null,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,null,null,Good,null,Good,Good,Good,null,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,null,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,null,null,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good
Moderate,Good,Good,null,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,null,null,null,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,null,null,Good,Good,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,null,null,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,null,Good,null,Good,null
Good,Good,Good,Good,Good,Good,Moderate,null,null,Good,Good,Good,Good,null,Good,Good,null,Good,Good,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,Moderate,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good
Good,Good,null,Good,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,null,null,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Moderate,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Moderate,null,null,null,Good,Good,null,Good,null
Good,Good,null,null,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,null,null,Good,null,Good,null,Good,Good,Moderate,null,Good,Good,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,null,Good,null,Good,null
Good,Good,null,Good,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,null,null,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,null,null,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good
Good,Good,Good,null,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,Moderate,null,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,null,null,Good,null,Good,Moderate
Moderate,Good,Good,null,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,null,null,null,null,Good,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,Moderate,null,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,null,Good,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good
Moderate,Good,null,null,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,null,null,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,null,null,Good,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,Moderate,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good
Moderate,Good,null,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Moderate,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,null,Moderate,Good,Good,Good,Moderate,null,null,Good,Good,Good,Good,Good,null
Moderate,Good,null,null,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Good,null,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,null,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
null,Good,null,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,null,null,null,Good,Good,Good,Good,Good,null,Good,Good,Moderate,null,Good,Good,Good,Good,Moderate,null,null,Good,Good,Good,Good,null
null,Good,null,null,Good,Good,null,Moderate,null,Good,Good,Good,Good,Good,Good,Good,null,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
Moderate,null,null,null,Good,Good,null,Good,null,Good,Good,Good,Good,Moderate,Good,Good,null,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,null,null,null,Good,Good,null,Good,null
Good,Good,null,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,null,Good,Good,Good,Moderate,Moderate,null,null,Good,Good,Good,Good,Good
Good,Good,null,null,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,null,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Moderate,null,null,null,null,Good,null,Good,null
Good,Good,null,null,Good,null,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,null,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Moderate,Good,Good,null,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good
Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,null,null,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
Good,null,null,null,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,null,Good,Good,null,Good,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Moderate,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,null,Good,Good,null,null,Good,Good,Good,Good,Moderate,null,Good,Good,Good,Good,Good,Good
Good,Good,null,null,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,null,Good,Good,null,Good,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,null,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good
Moderate,Good,Good,null,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,null,Good,Good,Moderate,null,Good,Good,Good,Good,Moderate,null,null,Good,Good,null,Good,null
Moderate,Good,Good,null,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,null,Good,Good,null,null,null,Good,Good,Good,null,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,null,null,Good,null,Good,null
Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,null,Good,Good,Moderate,Good,Good,null,Good,null,Good,Good,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Moderate,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Good
Moderate,Good,Good,Moderate,Good,null,Good,null,Moderate,Good,Moderate,Good,Good,Moderate,Good,Good,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Moderate,Good,Good,Moderate,null,Good,Moderate,Good,Good,Good,null,Good,Good,Moderate,Good,null,Good,null,Good,Good,Good,Good,null
Good,Good,Good,Moderate,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Moderate,null,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Moderate,null,null,Moderate,Good,Good,Good,null
Good,Good,null,Good,Good,Good,Moderate,null,null,Good,Good,Good,Good,null,Good,Good,null,null,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Moderate,null,null,Good,Good,Good,Good,Good
Good,Good,Moderate,null,Good,Moderate,Moderate,null,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,null,Moderate,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Moderate,Moderate,Good,null,Good,null,null,Good,Good,Good,Good,null,Good,Good,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Good,Good,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,Moderate,null,Good,null,null,Good,Good,Good,Good,Moderate,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good
Good,Good,null,Good,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Moderate,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Moderate,null,Good,null,Good,Good,Good,Good,null
Good,Good,null,null,Good,null,null,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Moderate,Good,Good,Moderate,Good,Good,Moderate,Good,Good,Good,null,Good,Good,Good,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Unhealthy for Sensitive Groups,Good,Good,null,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Moderate,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,null,Good,Good,Good,Good,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good
null,Good,Good,null,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,null,Good,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
null,Good,Good,Moderate,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,null,Good,Good,null,null,Good,Good,Good,null,Good,Good,Good,null,null,Good,Good,Good,null,Good,null,Good,Good,Moderate,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Moderate,Good,Good,null,null,null,null,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,Moderate,Good,Good,Good,Good,Moderate,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Good,Good,Good
Good,Good,Moderate,null,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,Moderate,null,Good,Good,null,Good,Good,Good,Moderate,Good,Good,Good,Good,null,null,Good,Good,Good,null,Good,Moderate,Good,Good,Moderate,Good,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,Good,Moderate,Good,Moderate,null,null,null,Good,Good,Good,Good,null,Good,Good,Moderate,null,Moderate,Good,null,Good,Good,Good,Good,Moderate,Good,Moderate,Good,null,null,Good,Good,Good,null,Good,Moderate,Good,Good,Unhealthy for Sensitive Groups,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Good,Good,null,Good,Good,null,null,null,Good,Good,Good,Good,Good,null,Good,Good,Moderate,null,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Good,Good,Good,null,Good,Good,Good,Good,null,Good,Moderate,Good,Good,Unhealthy,null,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good
Moderate,Good,null,Moderate,Good,null,null,null,null,Good,Good,Good,Good,null,Good,Good,Moderate,null,Moderate,Moderate,null,Good,Good,Good,Moderate,Moderate,Good,Good,Good,null,Good,Moderate,Good,Good,null,Good,Moderate,Good,Good,Unhealthy,Good,Good,Good,Good,Good,Good,null,null,Good,Good,null,Good,null
Good,Good,null,Moderate,Good,Good,null,null,Good,Good,Good,Good,Good,Moderate,Good,Good,Good,null,Moderate,Moderate,Good,null,Moderate,Good,Moderate,Good,Good,Good,Good,null,Good,Moderate,Good,Good,null,Good,Good,Good,Good,Hazardous,null,Good,Good,Good,Good,null,null,null,Good,Good,null,Good,null
Moderate,Good,Good,Good,Good,null,null,null,Good,Good,Good,Good,Good,Moderate,Moderate,Good,Moderate,Good,Good,Moderate,Good,Moderate,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,null,Good,Good,Good,Good,Unhealthy,Good,Good,Good,Good,Good,null,null,Moderate,Good,Good,Good,Good,Good
